	time	Browsers	Page	Category	l_jp_sid	l_jp_cid	g_auth	g_page_restric	l_grp_auth	l_jp_grp_id	Platform	Device	Web browser	Operating system	c9	c7	pageview	cookie	sso
0	10000031.0	185.17.218.210#310BBF20	jplive.forside.sec	other	1072.0	0.0	no	open	no	185.17.218.215	Tablet	Android Tablet	Chrome	Android		http://jyllands-posten.dk/	1,0	00fbc91c-11a4-4a6a-9511-cb90aeb756c5	NOTSET
1	10000704.0	192.38.133.210#35092A55	jplive.aarhus.sec	aarhus	1184.0	0.0	no	open	no	192.38.133.215	Mobile	Android Device	Firefox	Android	http://jyllands-posten.dk/?device=mobil	http://jyllands-posten.dk/aarhus/	1,0	b60c5b85-067f-4ea6-87f3-74adf8635581	NOTSET
2	10000889.0	1.10.144.178#10D2A93F	jplive.aarhus.art.9475582	aarhus	1184.0	9475582.0	no	open	no	NOTSET	Tablet	iPad	Safari	iOS	http://jyllands-posten.dk/aarhus/	http://jyllands-posten.dk/aarhus/ECE9475582/anbefaling-lokal-rigmand-skal-bygge-danmarks-hoejeste-hus/	1,0	67ce113b-8ade-4d9f-81e5-7c393831f880	NOTSET
3	1000149.0	9224e0a8-0023-9014-8020-414846824640	jplive.forside.sec	other	1072.0	0.0	no	open	no	62.198.156.21	Mobile	Android Mobile	Chrome	Android	http://jyllands-posten.dk/?device=mobil	http://jyllands-posten.dk/?device=mobil	1,0	9534ea14-3869-4858-8141-3473194b219a	NOTSET
4	10001901.0	192.38.133.210#35092A55	jplive.aarhus.sec	aarhus	1184.0	0.0	no	open	no	192.38.133.215	Mobile	Android Device	Firefox	Android	http://jyllands-posten.dk/?device=mobil	http://jyllands-posten.dk/aarhus/	1,0	b60c5b85-067f-4ea6-87f3-74adf8635581	NOTSET
5	10002072.0	24.86.228.226#362F4D10	jplive.indland.art.9476813	indland	1073.0	9476813.0	no	open	no	24.86.228.225	Tablet	iPad	Safari	iOS	http://jyllands-posten.dk/	http://jyllands-posten.dk/indland/ECE9476813/naesten-hver-fjerde-dansker-mister-tillid-til-medierne/	1,0	799a502e-474c-44fc-b0d3-24d00351a4ab	NOTSET
6	10002319.0	16bd7b6e-8502-1801-8102-041470805071	premium.livsstil.art.9450916	livsstil	2915.0	9450916.0	no	restricted	no	NOTSET	Mobile	iPhone	Facebook for iPhone	iOS	http://m.facebook.com	http://jyllands-posten.dk/protected/premium/livsstil/ECE9450916/passer-du-paa-vaegten-uden-at-se-resultater-her-er-10-madvarer-der-slet-ikke-er-saa-sunde-som-du-tror/?ns_mchannel=social&ns_source=facebook&ns_campaign=jpm-premium&ns_linkname=madvarer&ns_fee=0	1,0	af39f33e-5bdb-44d1-b590-1e4b2253da77	NOTSET
7	10002438.0	4e56b926-2030-7804-2036-145241907300	jplive.forside.sec	other	1072.0	0.0	no	open	no	219.79.42.74	Mobile	iPhone	Safari	iOS		http://jyllands-posten.dk/?device=mobil	1,0	626adcbd-49f6-4f35-8139-bfb918ba399c	NOTSET
8	10002771.0	94.191.184.217#21239018	jplive.aarhus.art.9475582	aarhus	1184.0	9475582.0	no	open	no	94.191.184.220	Computer	Macintosh Desktop	Safari	Mac OS	http://jyllands-posten.dk/	http://jyllands-posten.dk/aarhus/ECE9475582/anbefaling-lokal-rigmand-skal-bygge-danmarks-hoejeste-hus/	1,0	77a12486-476b-4071-babb-3d842cc02569	NOTSET
9	10003266.0	192.38.133.210#35092A55	jplive.aarhus.sec	aarhus	1184.0	0.0	no	open	no	192.38.133.215	Mobile	Android Device	Firefox	Android	http://jyllands-posten.dk/?device=mobil	http://jyllands-posten.dk/aarhus/	1,0	b60c5b85-067f-4ea6-87f3-74adf8635581	NOTSET
10	10003373.0	64dd1394-8002-3901-7801-741469730457	jplive.seneste.sec	other	1446.0	0.0	no	open	no	62.44.134.93	Mobile	Android Mobile	Chrome	Android	http://jyllands-posten.dk/kultur/	http://jyllands-posten.dk/seneste/	1,0	8258a0b5-e691-48c2-93e7-f33f574b2fbd	NOTSET
11	10003661.0	183.88.29.241#0D5AD512	jplive.forside.sec	other	1072.0	0.0	no	open	no	183.88.29.242	Tablet	iPad	Safari	iOS		http://jyllands-posten.dk/	1,0	e0609b07-6bf2-498e-a6ba-c9c56b5fbfcc	NOTSET
12	10003955.0	90.184.76.122#2AD19728	jplive.debat.leder.art.9476755	debat	1768.0	9476755.0	no	open	no	90.184.76.121	Tablet	iPad	Facebook for iPhone	iOS	http://m.facebook.com	http://jyllands-posten.dk/debat/leder/ECE9476755/foraeldre-der-fravaelger-vacciner-skal-maerke-en-konsekvens/	1,0	0f39ef1c-4393-4f66-9482-55399df4c235	NOTSET
13	10004349.0	24eec8d1-9502-1503-7020-146252467200	jplive.forside.sec	other	1072.0	0.0	no	open	no	93.160.221.22	Mobile	iPhone	Safari	iOS		http://jyllands-posten.dk/?device=mobil	1,0	f344307e-77d0-42d0-89b6-3a86280ce7a9	NOTSET
14	10004971.0	83.90.188.178#3D9FBCC9	jplive.livsstil.bolig.art.9467305	livsstil	1840.0	9467305.0	no	open	no	83.90.188.179	Tablet	iPad	Safari	iOS		http://jyllands-posten.dk/livsstil/bolig/ECE9467305/undgaa-at-ende-i-en-airbnbklemme/	1,0	56b6b794-9867-4e48-8e85-59aaea5102df	NOTSET
15	10005337.0	24eec8d1-9502-1503-7020-146252467200	jplive.forside.sec	other	1072.0	0.0	yes	open	no	93.160.221.22	Mobile	iPhone	Safari	iOS	http://jyllands-posten.dk/?device=mobil	http://jyllands-posten.dk/?device=mobil	1,0	f344307e-77d0-42d0-89b6-3a86280ce7a9	fd970393-6945-490c-95cb-27f4b87f793c
16	10005526.0	192.38.133.210#35092A55	jplive.aarhus.sec	aarhus	1184.0	0.0	no	open	no	192.38.133.215	Mobile	Android Device	Firefox	Android	http://jyllands-posten.dk/?device=mobil	http://jyllands-posten.dk/aarhus/	1,0	b60c5b85-067f-4ea6-87f3-74adf8635581	NOTSET
17	1000561.0	82661b12-0170-2100-6148-715133800000	jplive.forside.sec	other	1072.0	0.0	no	open	no	90.194.175.80	Mobile	Android Device	Chrome	Android	http://jyllands-posten.dk/international/mideast/ECE9476551/islamisk-stats-nummer-to-meldes-draebt-i-irak/	http://jyllands-posten.dk/	1,0	38334292-0021-42a7-b508-36f81ef032a0	NOTSET
18	10006054.0	3c255fa1-9501-3802-5503-114503391480	jplive.forside.sec	other	1072.0	0.0	no	open	no	NOTSET	Mobile	Android Mobile	Chrome	Android		http://jyllands-posten.dk/?device=mobil	1,0	32a0f07e-430b-469d-87d4-42dbfae3185e	NOTSET
19	10006216.0	212.242.227.65#674E75CD	jplive.aarhus.meninger.breve.art.8647746	aarhus	1193.0	8647746.0	no	open	no	212.242.227.68	Mobile	iPhone	Facebook for iPhone	iOS	http://m.facebook.com	http://jyllands-posten.dk/aarhus/meninger/breve/ECE8647746/mit-liv-med-rygerlunger/	1,0	4767942f-2870-4780-971c-91df6de9d802	NOTSET
20	10006344.0	346dcf57-8002-3901-7801-511449364093	premium.indland.art.3628911	indland	1742.0	3628911.0	no	restricted	no	NOTSET	Mobile	iPhone	Safari	iOS	https://www.google.dk/	http://www.jyllands-posten.dk/protected/premium/indland/article3628911.ece	1,0	56ffa3d0-7c76-4ac2-978b-bb4c4de536a9	NOTSET
21	10006677.0	14c4ab7c-1950-2150-2210-251434576150	premium.international.art.7976382	international	1743.0	7976382.0	no	open	no	NOTSET	Computer	Windows Desktop	Chrome	Windows	https://www.google.dk/	https://jyllands-posten.dk/premium/international/ECE7976382/Den-sk%C3%A6ve-k%C3%B8nsfordeling/	1,0	edfe2a88-3da8-4ac9-9e36-d2f358ee6ca4	NOTSET
22	1000671.0	1911d0d9-5020-9020-1085-148561904800	jplive.sport.sec	sport	1221.0	0.0	no	open	no	93.166.242.136	Mobile	Android Mobile	Chrome	Android	http://jyllands-posten.dk/sport/	http://jyllands-posten.dk/sport/	1,0	36267ef8-8bbe-447a-bde0-daf3a9bfec35	NOTSET
23	10006749.0	192.38.133.210#35092A55	jplive.aarhus.sec	aarhus	1184.0	0.0	no	open	no	192.38.133.215	Mobile	Android Device	Firefox	Android	http://jyllands-posten.dk/?device=mobil	http://jyllands-posten.dk/aarhus/	1,0	b60c5b85-067f-4ea6-87f3-74adf8635581	NOTSET
24	10007486.0	6bd474c6-2061-0132-0711-473971877000	jplive.forside.sec	other	1072.0	0.0	no	open	no	94.191.187.226	Mobile	Android Mobile	Chrome	Android		http://jyllands-posten.dk/?device=mobil	1,0	271b18fe-f972-46ff-bd75-1c151c2643e7	NOTSET
25	1000778.0	87.49.146.74#138C7059	jplive.forside.sec	other	1072.0	0.0	no	open	no	87.49.146.75	Mobile	iPhone	Safari	iOS		http://jyllands-posten.dk/?device=mobil	1,0	45968e45-c877-4dce-b77b-183a9a341901	NOTSET
26	10007873.0	3c255fa1-9501-3802-5503-114503391480	jplive.forside.sec	other	1072.0	0.0	yes	open	no	178.19.196.2	Mobile	Android Mobile	Chrome	Android	http://jyllands-posten.dk/?device=mobil	http://jyllands-posten.dk/?device=mobil	1,0	32a0f07e-430b-469d-87d4-42dbfae3185e	ece5fbe3-6f53-40c5-b386-d559bab0413a
27	10007919.0	9aad3661-0190-1202-0814-270996290000	jplive.forside.sec	other	1072.0	0.0	no	open	no	NOTSET	Computer	Windows Desktop	Chrome	Windows	https://www.google.co.th/	http://jyllands-posten.dk/	1,0	04b90fe2-e4b8-4be8-946f-22288ce1502b	NOTSET
28	10008043.0	192.38.133.210#35092A55	jplive.aarhus.sec	aarhus	1184.0	0.0	no	open	no	192.38.133.215	Mobile	Android Device	Firefox	Android	http://jyllands-posten.dk/?device=mobil	http://jyllands-posten.dk/aarhus/	1,0	b60c5b85-067f-4ea6-87f3-74adf8635581	NOTSET
29	10008310.0	1b810e81-9303-4010-5070-146515724900	premium.indblik.international.art.9468516	indblik	2559.0	9468516.0	no	restricted	no	NOTSET	Computer	Windows Desktop	Edge	Windows	http://jyllands-posten.dk/international/mideast/ECE9476551/islamisk-stats-nummer-to-meldes-draebt-i-irak/	https://jyllands-posten.dk/protected/premium/indblik/International/ECE9468516/langt-fra-frontlinjerne-er-ismedlemmer-begyndt-at-vende-tilbage/	1,0	c0249d4f-67b4-4d67-bc4f-7ad45cb24c4c	NOTSET
30	10008533.0	71.232.100.97#0D5AD512	jplive.forside.sec	other	1072.0	0.0	no	open	no	71.232.100.98	Tablet	iPad	Safari	iOS		http://jyllands-posten.dk/	1,0	4420340a-4a58-461b-b3c1-089b762c534d	NOTSET
31	1000913.0	85.191.29.217#0D5AD512	jplive.indland.art.9476980	indland	1073.0	9476980.0	no	open	no	85.191.29.216	Tablet	iPad	Safari	iOS	http://jyllands-posten.dk/	http://jyllands-posten.dk/indland/ECE9476980/bil-med-fem-unge-rullede-rundt-i-nordjysk-skov/	1,0	2a4e0e1b-f4bd-4d2a-b412-6edcbc3b1e1f	NOTSET
32	10009133.0	94.191.188.2#2EA87E74	jplive.indland.art.9476813	indland	1073.0	9476813.0	no	open	no	94.191.188.3	Mobile	iPhone	Facebook for iPhone	iOS	http://m.facebook.com	http://jyllands-posten.dk/indland/ECE9476813/naesten-hver-fjerde-dansker-mister-tillid-til-medierne/	1,0	c98075c2-74c1-4391-a5f2-44527e727c86	NOTSET
33	10009345.0	2b8f9586-1950-2490-2090-133147306383	jplive.forside.sec	other	1072.0	0.0	no	open	no	217.16.110.58	Computer	Windows Desktop	IE	Windows		http://jyllands-posten.dk/	1,0	57ed04c6-0a19-4df7-b8df-bcb53f86636b	NOTSET
