Mean test score,Mean train score,Std test score,Std train score,Mean fit time,C,gamma
0.11300,1.00000,0.00028,0.00000,4.70536,1000,1
0.11300,1.00000,0.00028,0.00000,5.42320,200,1
0.11300,1.00000,0.00028,0.00000,5.24521,1,1
0.11300,1.00000,0.00028,0.00000,5.39987,100,1
0.11300,1.00000,0.00028,0.00000,5.42439,10,1
0.60750,1.00000,0.02031,0.00000,5.08569,1,0.1
0.64200,1.00000,0.02200,0.00000,5.21180,200,0.1
0.64200,1.00000,0.02200,0.00000,5.24041,100,0.1
0.64200,1.00000,0.02200,0.00000,5.28681,1000,0.1
0.64200,1.00000,0.02200,0.00000,5.21722,10,0.1
0.92250,0.97550,0.00809,0.00183,1.60862,1,0.008
0.92500,0.97700,0.00885,0.00030,1.68866,1,0.009
0.92600,0.98025,0.00844,0.00035,1.74379,1,0.01
0.93650,1.00000,0.00951,0.00000,1.74903,100,0.009
0.93650,1.00000,0.00951,0.00000,1.73828,200,0.009
0.93650,1.00000,0.00951,0.00000,1.76046,1000,0.009
0.93750,1.00000,0.00913,0.00000,1.64797,200,0.008
0.93750,1.00000,0.00913,0.00000,1.62600,1000,0.008
0.93750,1.00000,0.00913,0.00000,1.64630,100,0.008
0.93850,1.00000,0.00880,0.00000,1.72288,10,0.009
0.93900,1.00000,0.00912,0.00000,1.62933,10,0.008
0.93900,1.00000,0.01040,0.00000,1.83493,200,0.01
0.93900,1.00000,0.01040,0.00000,1.88275,1000,0.01
0.93900,1.00000,0.01040,0.00000,1.85639,100,0.01
0.93950,1.00000,0.01064,0.00000,1.85876,10,0.01
